column_name,metric_type,value
customer_id,count,102
customer_id,sum,2602
customer_id,avg,25.5098
customer_id,min,1
customer_id,max,51
service_id,count,102
service_id,sum,1453
service_id,avg,14.2451
service_id,min,1
service_id,max,52
subscribed_on,count,102
subscribed_on,distinct_count,49
subscribed_on,group_concat,"2023-01-15,2023-01-15,2023-02-10,2022-11-10,2022-12-05,2023-02-20,2023-03-01,2023-03-25,2023-04-05,2022-10-10,2022-10-15,2023-04-10,2023-04-15,2023-01-30,2023-02-05,2022-12-15,2022-12-20,2023-03-05,2023-03-10,2022-09-25,2022-10-01,2023-03-10,2023-03-15,2023-04-20,2023-04-25,2022-11-30,2022-12-05,2023-01-10,2023-01-15,2023-02-20,2023-02-25,2022-10-25,2022-11-01,2023-03-30,2023-04-05,2022-12-15,2022-12-20,2023-01-30,2023-02-05,2023-04-25,2023-05-01,2022-09-30,2022-10-05,2023-02-15,2023-02-20,2023-03-20,2023-03-25,2022-12-01,2022-12-05,2023-01-25,2023-01-30,2022-12-30,2023-01-05,2023-03-05,2023-03-10,2023-04-30,2023-05-05,2022-11-05,2022-11-10,2023-03-15,2023-03-20,2023-01-20,2023-01-25,2022-11-20,2022-11-25,2023-02-25,2023-03-01,2023-01-05,2023-01-10,2023-04-10,2023-04-15,2022-10-15,2022-10-20,2023-02-01,2023-02-05,2023-03-10,2023-03-15,2022-12-10,2022-12-15,2023-04-15,2023-04-20,2023-01-15,2023-01-20,2022-11-25,2022-11-30,2023-03-20,2023-03-25,2023-05-01,2023-05-05,2022-10-20,2022-10-25,2023-03-05,2023-03-10,2"
