column_name,metric_type,value
loan_id,count,100
loan_id,sum,5050
loan_id,avg,50.5000
loan_id,min,1
loan_id,max,100
customer_id,count,100
customer_id,sum,5050
customer_id,avg,50.5000
customer_id,min,1
customer_id,max,100
loan_type,count,100
loan_type,distinct_count,5
loan_type,group_concat,"Home Loan,Personal Loan,Auto Loan,Education Loan,Business Loan,Home Loan,Personal Loan,Auto Loan,Education Loan,Business Loan,Home Loan,Personal Loan,Auto Loan,Education Loan,Business Loan,Home Loan,Personal Loan,Auto Loan,Education Loan,Business Loan,Home Loan,Personal Loan,Auto Loan,Education Loan,Business Loan,Home Loan,Personal Loan,Auto Loan,Education Loan,Business Loan,Home Loan,Personal Loan,Auto Loan,Education Loan,Business Loan,Home Loan,Personal Loan,Auto Loan,Education Loan,Business Loan,Home Loan,Personal Loan,Auto Loan,Education Loan,Business Loan,Home Loan,Personal Loan,Auto Loan,Education Loan,Business Loan,Home Loan,Personal Loan,Auto Loan,Education Loan,Business Loan,Home Loan,Personal Loan,Auto Loan,Education Loan,Business Loan,Home Loan,Personal Loan,Auto Loan,Education Loan,Business Loan,Home Loan,Personal Loan,Auto Loan,Education Loan,Business Loan,Home Loan,Personal Loan,Auto Loan,Education Loan,Business Loan,Home Loan,Personal Loan,Auto Loan,Education Loan,Business Loan,Home Loan,Person"
amount,count,100
amount,distinct_count,60
amount,group_concat,"500000.00,10000.00,25000.00,15000.00,100000.00,350000.00,5000.00,20000.00,12000.00,75000.00,450000.00,8000.00,18000.00,10000.00,50000.00,400000.00,6000.00,22000.00,14000.00,80000.00,550000.00,7000.00,30000.00,16000.00,90000.00,300000.00,4000.00,15000.00,8000.00,60000.00,600000.00,9000.00,35000.00,18000.00,110000.00,250000.00,3000.00,12000.00,7000.00,40000.00,700000.00,10000.00,40000.00,20000.00,120000.00,200000.00,2000.00,10000.00,6000.00,30000.00,800000.00,11000.00,45000.00,22000.00,130000.00,150000.00,12000.00,5000.00,5000.00,20000.00,900000.00,13000.00,50000.00,24000.00,140000.00,100000.00,14000.00,8000.00,4000.00,10000.00,950000.00,15000.00,55000.00,26000.00,150000.00,80000.00,16000.00,9000.00,3000.00,5000.00,850000.00,17000.00,60000.00,28000.00,160000.00,70000.00,18000.00,10000.00,2000.00,7000.00,750000.00,19000.00,65000.00,30000.00,170000.00,60000.00,20000.00,11000.00,1000.00,8000.00"
status,count,100
status,distinct_count,3
status,group_concat,"Approved,Pending,Approved,Approved,Rejected,Approved,Approved,Pending,Approved,Rejected,Approved,Approved,Pending,Approved,Rejected,Approved,Approved,Pending,Approved,Rejected,Approved,Approved,Pending,Approved,Rejected,Approved,Approved,Pending,Approved,Rejected,Approved,Approved,Pending,Approved,Rejected,Approved,Approved,Pending,Approved,Rejected,Approved,Approved,Pending,Approved,Rejected,Approved,Approved,Pending,Approved,Rejected,Approved,Approved,Pending,Approved,Rejected,Approved,Approved,Pending,Approved,Rejected,Approved,Approved,Pending,Approved,Rejected,Approved,Approved,Pending,Approved,Rejected,Approved,Approved,Pending,Approved,Rejected,Approved,Approved,Pending,Approved,Rejected,Approved,Approved,Pending,Approved,Rejected,Approved,Approved,Pending,Approved,Rejected,Approved,Approved,Pending,Approved,Rejected,Approved,Approved,Pending,Approved,Rejected"
start_date,count,100
start_date,distinct_count,45
start_date,group_concat,"2024-01-01,2023-05-15,2023-03-10,2023-04-01,2023-02-20,2023-05-01,2023-01-15,2023-04-10,2023-03-01,2023-02-10,2023-05-10,2023-01-20,2023-04-15,2023-03-05,2023-02-15,2023-05-05,2023-01-25,2023-04-20,2023-03-10,2023-02-05,2023-05-15,2023-01-30,2023-04-25,2023-03-15,2023-02-25,2023-05-20,2023-02-01,2023-04-30,2023-03-20,2023-02-28,2023-05-25,2023-02-05,2023-05-01,2023-03-25,2023-03-01,2023-05-30,2023-02-10,2023-05-05,2023-03-30,2023-03-05,2023-06-01,2023-02-15,2023-05-10,2023-04-01,2023-03-10,2023-06-05,2023-02-20,2023-05-15,2023-04-05,2023-03-15,2023-06-10,2023-02-25,2023-05-20,2023-04-10,2023-03-20,2023-06-15,2023-03-01,2023-05-25,2023-04-15,2023-03-25,2023-06-20,2023-03-05,2023-05-30,2023-04-20,2023-03-30,2023-06-25,2023-03-10,2023-06-01,2023-04-25,2023-04-01,2023-06-30,2023-03-15,2023-06-05,2023-04-30,2023-04-05,2023-07-01,2023-03-20,2023-06-10,2023-05-01,2023-04-10,2023-07-05,2023-03-25,2023-06-15,2023-05-05,2023-04-15,2023-07-10,2023-03-30,2023-06-20,2023-05-10,2023-04-20,2023-07-15,2023-04-01,2023-06-25,2"
end_date,count,100
end_date,distinct_count,94
end_date,group_concat,"2034-01-01,2025-05-15,2028-03-10,2028-04-01,2026-02-20,2033-05-01,2024-01-15,2027-04-10,2028-03-01,2026-02-10,2033-05-10,2024-01-20,2027-04-15,2028-03-05,2026-02-15,2033-05-05,2024-01-25,2027-04-20,2028-03-10,2026-02-05,2033-05-15,2024-01-30,2028-04-25,2028-03-15,2026-02-25,2033-05-20,2024-02-01,2027-04-30,2028-03-20,2026-02-28,2033-05-25,2024-02-05,2028-05-01,2028-03-25,2026-03-01,2033-05-30,2024-02-10,2027-05-05,2028-03-30,2026-03-05,2033-06-01,2024-02-15,2028-05-10,2028-04-01,2026-03-10,2033-06-05,2024-02-20,2027-05-15,2028-04-05,2026-03-15,2033-06-10,2024-02-25,2028-05-20,2028-04-10,2026-03-20,2033-06-15,2024-03-01,2027-05-25,2028-04-15,2026-03-25,2033-06-20,2024-03-05,2028-05-30,2028-04-20,2026-03-30,2033-06-25,2024-03-10,2027-06-01,2028-04-25,2026-04-01,2033-06-30,2024-03-15,2028-06-05,2028-04-30,2026-04-05,2033-07-01,2024-03-20,2027-06-10,2028-05-01,2026-04-10,2033-07-05,2024-03-25,2028-06-15,2028-05-05,2026-04-15,2033-07-10,2024-03-30,2027-06-20,2028-05-10,2026-04-20,2033-07-15,2024-04-01,2028-06-25,2"
